id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
2104800,MA,21786.0,73736.0,8862.0,0.82836,26.0,101.58,24.01,7904.0,5984.0,50.0,45.0
1500909,PA,12365.0,44524.0,1100.0,0.82544,26.0,104.69,24.11,20.0,0.0,145.0,0.0
1504703,PA,25016.0,83890.0,9094.0,0.87528,26.0,109.12,19.43,258.0,179.0,6244.0,3406.0
1503457,PA,8758.0,30206.0,5216.0,0.8245,26.0,106.43,20.81,37.0,4.0,439.0,0.0
1502855,PA,3903.0,14105.0,1431.0,0.91958,26.0,108.25,21.99,35.0,0.0,223.0,0.0
1508001,PA,19818.0,67373.0,5145.0,0.88632,26.0,103.73,20.48,582.0,263.0,332.0,0.0
1504604,PA,6854.0,27120.0,871.0,0.91778,26.0,103.0,28.66,47.0,0.0,4923.0,1801.0
1502103,PA,33318.0,133949.0,3081.0,0.91668,26.0,105.35,26.68,125.0,0.0,10124.0,1754.0
1504901,PA,10636.0,45181.0,3763.0,0.8999,26.0,102.8,21.1,7.0,0.0,0.0,0.0
1507805,PA,6498.0,22231.0,14420.0,0.84771,26.0,117.47,14.86,845.0,471.0,0.0,0.0
1503002,PA,2096.0,8693.0,11772.0,0.92743,26.0,105.61,24.91,83.0,66.0,0.0,0.0
1502764,PA,3626.0,12863.0,17085.0,0.83501,26.0,121.74,13.9,2405.0,2381.0,0.0,0.0
2503555,PB,2291.0,7223.0,124.0,0.75257,26.0,93.65,32.01,10.0,0.0,1698.0,0.0
2609154,PE,6694.0,23751.0,345.0,0.69833,26.0,99.19,27.29,17.0,0.0,3.0,0.0
2607000,PE,7310.0,25590.0,1231.0,0.75866,26.0,96.75,22.76,3876.0,1407.0,1151.0,0.0
2201150,PI,3883.0,13235.0,7809.0,0.85093,26.0,105.07,20.9,291.0,0.0,0.0,0.0
1400308,RR,5339.0,17937.0,12338.0,0.87667,26.0,105.93,22.59,738.0,471.0,0.0,0.0
1400209,RR,6087.0,20882.0,47380.0,0.87008,26.0,108.96,21.25,1273.0,766.0,0.0,0.0
1400233,RR,3130.0,10512.0,12066.0,0.91693,26.0,114.36,18.3,809.0,601.0,0.0,0.0
1720150,TO,551.0,1771.0,1913.0,0.88318,26.0,106.84,25.05,5.0,0.0,681.0,0.0
1709005,TO,3696.0,12411.0,6415.0,0.82264,26.0,107.77,30.17,2650.0,2540.0,0.0,0.0
1718303,TO,2454.0,9031.0,301.0,0.83864,26.0,105.36,26.26,1.0,0.0,0.0,0.0
1300706,AM,10162.0,35357.0,21939.0,0.80163,27.0,107.84,24.54,3135.0,781.0,0.0,0.0
1301100,AM,9067.0,30740.0,6096.0,0.87057,27.0,108.17,28.16,3346.0,302.0,0.0,0.0
1303536,AM,9389.0,30635.0,25459.0,0.91418,27.0,102.71,22.5,1286.0,553.0,0.0,0.0
1300904,AM,4552.0,16862.0,33643.0,0.81116,27.0,115.33,22.01,2623.0,157.0,0.0,0.0
1302553,AM,4956.0,17089.0,3973.0,0.88584,27.0,108.11,25.31,2120.0,47.0,0.0,0.0
1304302,AM,4279.0,18563.0,27902.0,0.94227,27.0,110.69,24.44,1129.0,0.0,0.0,0.0
1600600,AP,28794.0,107334.0,1541.0,0.92436,27.0,99.04,22.15,79.0,0.0,1176.0,764.0
2112274,MA,1567.0,5506.0,271.0,0.76317,27.0,103.29,35.54,14.0,0.0,0.0,0.0
2104677,MA,6739.0,22917.0,1037.0,0.81956,27.0,101.53,26.12,20.0,0.0,0.0,0.0
2107100,MA,5181.0,18539.0,1712.0,0.81228,27.0,105.11,27.86,26.0,0.0,37.0,0.0
2105153,MA,4033.0,13961.0,369.0,0.78742,27.0,98.92,26.61,25.0,0.0,519.0,0.0
2108306,MA,9678.0,32498.0,801.0,0.83185,27.0,98.42,31.18,175.0,0.0,9268.0,0.0
2105963,MA,3366.0,11405.0,744.0,0.7145,27.0,107.13,25.45,8.0,0.0,0.0,0.0
2102150,MA,2545.0,9200.0,986.0,0.7458,27.0,107.33,27.18,1.0,0.0,0.0,0.0
2112001,MA,2638.0,8832.0,4369.0,0.86719,27.0,105.95,28.27,2.0,0.0,0.0,0.0
2105104,MA,6914.0,24785.0,1124.0,0.82049,27.0,104.42,32.49,19.0,0.0,5893.0,350.0
2112506,MA,14744.0,53157.0,1566.0,0.77665,27.0,99.64,28.9,107.0,0.0,223.0,208.0
2101400,MA,30817.0,101337.0,13141.0,0.91591,27.0,97.6,22.45,216.0,0.0,0.0,0.0
2102705,MA,6016.0,24280.0,773.0,0.82948,27.0,100.06,29.76,26.0,0.0,1193.0,170.0
2106409,MA,4803.0,17069.0,549.0,0.79035,27.0,101.46,31.3,23.0,0.0,3483.0,0.0
2110005,MA,17039.0,57523.0,4837.0,0.7692,27.0,100.99,31.99,211.0,166.0,0.0,0.0
2109270,MA,4934.0,17503.0,726.0,0.79648,27.0,98.94,28.24,12.0,0.0,2987.0,281.0
2102002,MA,9753.0,33053.0,6588.0,0.7507,27.0,101.53,31.54,2109.0,2018.0,0.0,0.0
2100477,MA,7425.0,25611.0,1876.0,0.77842,27.0,101.84,31.49,65.0,0.0,0.0,0.0
2106672,MA,2369.0,8809.0,635.0,0.70665,27.0,106.85,33.56,7.0,0.0,0.0,0.0
2103901,MA,2748.0,10218.0,317.0,0.73313,27.0,101.52,32.28,4.0,0.0,0.0,0.0
5007950,MS,3242.0,10786.0,1784.0,0.84405,27.0,107.53,27.47,4252.0,4090.0,0.0,0.0
